,URL,Clicks,Impressions,CTR,Position
71,['https://www.uselessthingstobuy.com/product/rave-kaleidoscope-glasses/'],8.0,11283.0,0.0007090312860054949,13.790038110431622
72,['https://www.uselessthingstobuy.com/product/teepee-dog-bed/'],8.0,3549.0,0.0022541561003099463,21.887292194984504
73,['https://www.uselessthingstobuy.com/product/thanos-glove-for-sale-avengers/'],8.0,2190.0,0.0036529680365296802,53.236529680365294
74,['https://www.uselessthingstobuy.com/product/trump-toilet-brush-set/'],8.0,2429.0,0.0032935364347468094,49.33882256072458
75,['https://www.uselessthingstobuy.com/product/bow-tie-pasta-necklace/'],7.0,1604.0,0.004364089775561097,29.377182044887782
76,['https://www.uselessthingstobuy.com/product/finger-hands-on-finger-hands/'],7.0,16261.0,0.00043047783039173483,6.400098394932661
77,['https://www.uselessthingstobuy.com/product/funny-cross-stitch-quotes/'],7.0,4499.0,0.001555901311402534,47.90020004445432
78,['https://www.uselessthingstobuy.com/product/gameboy-refrigerator/'],7.0,1216.0,0.005756578947368421,12.14391447368421
79,['https://www.uselessthingstobuy.com/product/parenting-is-easy-book/'],7.0,850.0,0.00823529411764706,41.96705882352941
80,['https://www.uselessthingstobuy.com/product/stuffed-animal-french-fries/'],7.0,1387.0,0.005046863734679163,37.36697909156453
81,['https://www.uselessthingstobuy.com/product/the-anatomical-heart-plush/'],7.0,390.0,0.017948717948717947,26.176923076923078
82,['https://www.uselessthingstobuy.com/product/ben-jerrys-ice-cream-lock/'],6.0,1340.0,0.004477611940298508,38.15597014925373
83,['https://www.uselessthingstobuy.com/product/french-bulldog-birthday-hat-garland-frenchie-party-decorations/'],6.0,1512.0,0.003968253968253968,29.049603174603174
84,['https://www.uselessthingstobuy.com/product/shipping-container-home-for-sale-solar-energy-panels/'],6.0,2143.0,0.0027998133457769483,47.763415772281846
85,['https://www.uselessthingstobuy.com/product/toilet-mini-golf/'],6.0,1352.0,0.004437869822485207,45.92677514792899
86,['https://www.uselessthingstobuy.com/product/totally-useless-information-a-book-filled-with-stupid-facts-to-know/'],6.0,1039.0,0.005774783445620789,51.35611164581328
87,['https://www.uselessthingstobuy.com/product/triceratops-taco-holder-set/'],6.0,607.0,0.009884678747940691,29.663920922570018
88,['https://www.uselessthingstobuy.com/product/20-pack-of-pool-drink-floats/'],5.0,927.0,0.005393743257820928,37.5933117583603
89,['https://www.uselessthingstobuy.com/product/baby-mop-onesie/'],5.0,2175.0,0.0022988505747126436,42.0248275862069
90,['https://www.uselessthingstobuy.com/product/brain-coasters-set/'],5.0,584.0,0.008561643835616438,21.46746575342466
91,['https://www.uselessthingstobuy.com/product/iphone-11-commando-case-arnold-iron-schwarzenegger-smartphone-cases/'],5.0,1916.0,0.0026096033402922755,37.00313152400835
92,['https://www.uselessthingstobuy.com/product/octopus-tentacle-fingers-glow-in-the-dark-tentacle-toy/'],5.0,819.0,0.006105006105006105,14.544566544566544
93,['https://www.uselessthingstobuy.com/product/remote-control-poop-car/'],5.0,277.0,0.018050541516245487,19.945848375451263
94,['https://www.uselessthingstobuy.com/product/rick-and-morty-plumbus-commercial-salt-and-pepper-shaker/'],5.0,3913.0,0.001277791975466394,40.570661896243294
95,['https://www.uselessthingstobuy.com/product/shawty-u-fine-bear/'],5.0,1328.0,0.0037650602409638554,16.9789156626506
96,['https://www.uselessthingstobuy.com/product/star-wars-tape-dispenser/'],5.0,459.0,0.010893246187363835,30.684095860566448
97,['https://www.uselessthingstobuy.com/product/a-bag-of-unicorn-farts/'],4.0,1427.0,0.002803083391730904,46.00840925017519
98,['https://www.uselessthingstobuy.com/product/adult-achievement-stickers/'],4.0,1358.0,0.0029455081001472753,40.29823269513991
99,['https://www.uselessthingstobuy.com/product/boob-christmas-tree-ornament/'],4.0,659.0,0.006069802731411229,20.376327769347498
100,['https://www.uselessthingstobuy.com/product/canadians-are-magical/'],4.0,1379.0,0.0029006526468455403,64.96736765772299
101,['https://www.uselessthingstobuy.com/product/images-you-should-not-masturbate-to/'],4.0,1109.0,0.0036068530207394047,51.64021641118124
102,['https://www.uselessthingstobuy.com/product/llama-string-lights/'],4.0,1094.0,0.003656307129798903,42.320840950639855
103,['https://www.uselessthingstobuy.com/product/porn-for-women/'],4.0,246.0,0.016260162601626018,22.573170731707318
104,['https://www.uselessthingstobuy.com/product/the-worlds-smallest-violin/'],4.0,4075.0,0.00098159509202454,39.16319018404908
105,['https://www.uselessthingstobuy.com/product/12-pack-cactus-tea-light-candles/'],3.0,574.0,0.005226480836236934,51.505226480836235
106,['https://www.uselessthingstobuy.com/product/cuddle-pillow-arm-girlfriend/'],3.0,2004.0,0.0014970059880239522,59.16217564870259
107,['https://www.uselessthingstobuy.com/product/fake-wolf-tattoo/'],3.0,3038.0,0.0009874917709019092,69.45194206714945
108,['https://www.uselessthingstobuy.com/product/house-cleaning-dust-mop-slippers/'],3.0,1871.0,0.0016034206306787815,54.15820416889364
109,['https://www.uselessthingstobuy.com/product/mermaid-tail/'],3.0,3760.0,0.0007978723404255319,60.25478723404255
110,['https://www.uselessthingstobuy.com/product/tamagotchi-5-virtual-pet/'],3.0,673.0,0.004457652303120356,57.09361069836553
111,['https://www.uselessthingstobuy.com/product/the-best-fake-college-degree/'],3.0,2673.0,0.001122334455667789,48.11747100635989
112,['https://www.uselessthingstobuy.com/product/undies-for-two/'],3.0,600.0,0.005,24.12
113,['https://www.uselessthingstobuy.com/product/american-flag-casual-summer-suit/'],2.0,2764.0,0.000723589001447178,36.719971056439945
114,['https://www.uselessthingstobuy.com/product/banana-phone-handset/'],2.0,482.0,0.004149377593360996,60.79460580912863
115,['https://www.uselessthingstobuy.com/product/bathroom-night-light-motion-detector/'],2.0,1590.0,0.0012578616352201257,71.81320754716981
116,['https://www.uselessthingstobuy.com/product/beach-please-stemless-wine-glass/'],2.0,430.0,0.004651162790697674,36.825581395348834
117,['https://www.uselessthingstobuy.com/product/beardaments-beard-ornaments/'],2.0,1316.0,0.001519756838905775,40.243920972644375
118,['https://www.uselessthingstobuy.com/product/beer-mug-sunglasses-green-beer-goggles/'],2.0,267.0,0.00749063670411985,44.823970037453186
119,['https://www.uselessthingstobuy.com/product/bubblegum-stuff-cat-selfie/'],2.0,345.0,0.005797101449275362,38.756521739130434
120,['https://www.uselessthingstobuy.com/product/cat-butt-tissue-holder/'],2.0,760.0,0.002631578947368421,43.613157894736844
121,['https://www.uselessthingstobuy.com/product/chambong-2-pack-chambong-glassware/'],2.0,292.0,0.00684931506849315,68.58904109589041
122,['https://www.uselessthingstobuy.com/product/chicken-harness-suitable-for-chicken-duck-or-goose/'],2.0,898.0,0.0022271714922048997,49.711581291759465
123,['https://www.uselessthingstobuy.com/product/dad-bag-belly-fanny-pack/'],2.0,3472.0,0.000576036866359447,36.99913594470046
124,['https://www.uselessthingstobuy.com/product/fifty-shades-of-chicken/'],2.0,606.0,0.0033003300330033004,18.816831683168317
125,['https://www.uselessthingstobuy.com/product/gian-gummy-snake/'],2.0,921.0,0.002171552660152009,45.79478827361564
126,['https://www.uselessthingstobuy.com/product/home-mushroom-farm-kit/'],2.0,1051.0,0.0019029495718363464,51.867745004757374
127,['https://www.uselessthingstobuy.com/product/mini-plasma-ball-light-science-meets-art/'],2.0,723.0,0.0027662517289073307,53.14661134163209
128,['https://www.uselessthingstobuy.com/product/most-expensive-baseball-card-mickey-mantle/'],2.0,1718.0,0.0011641443538998836,59.4743888242142
129,['https://www.uselessthingstobuy.com/product/mrs-pac-man-full-arcade-game/'],2.0,677.0,0.0029542097488921715,49.13737075332349
